time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
2220000,NORMAL:0,0.01519756838905775,2219000,1000,0,0,0,0,49133072,117000,49077014,343231063,65568891,56058,4,2103000,117000,0,343231063,0,343231063
2221000,NORMAL:0,0.01519756838905775,2220000,1000,0,0,0,0,49133072,117000,49077014,343231109,65568891,56058,4,2104000,117000,0,343231109,0,343231109
2280000,NORMAL:0,0.01519756838905775,2279000,1000,0,0,0,0,49133072,117000,49077014,343232720,65568891,56058,4,2163000,117000,0,343232720,0,343232720
2281000,NORMAL:0,0.01519756838905775,2280000,1000,0,0,0,0,49133072,117000,49077014,343232766,65568891,56058,4,2164000,117000,0,343232766,0,343232766
2340000,NORMAL:0,0.01519756838905775,2339000,1000,0,0,0,0,49133072,117000,49077014,343234374,65568891,56058,4,2223000,117000,0,343234374,0,343234374
2341000,NORMAL:0,0.01519756838905775,2340000,1000,0,0,0,0,49133072,117000,49077014,343234419,65568891,56058,4,2224000,117000,0,343234419,0,343234419
2400000,NORMAL:0,0.01519756838905775,2399000,1000,0,0,0,0,49133072,117000,49077014,343236028,65568891,56058,4,2283000,117000,0,343236028,0,343236028
2401000,NORMAL:0,0.01519756838905775,2400000,1000,0,0,0,0,49133072,117000,49077014,343236075,65568891,56058,4,2284000,117000,0,343236075,0,343236075
2460000,NORMAL:0,0.01519756838905775,2459000,1000,0,0,0,0,49133072,117000,49077014,343237684,65568891,56058,4,2343000,117000,0,343237684,0,343237684
2461000,NORMAL:0,0.01519756838905775,2460000,1000,0,0,0,0,49133072,117000,49077014,343237728,65568891,56058,4,2344000,117000,0,343237728,0,343237728
2520000,NORMAL:0,0.01519756838905775,2519000,1000,0,0,0,0,49133072,117000,49077014,343239336,65568891,56058,4,2403000,117000,0,343239336,0,343239336
2521000,NORMAL:0,0.01519756838905775,2520000,1000,0,0,0,0,49133072,117000,49077014,343239385,65568891,56058,4,2404000,117000,0,343239385,0,343239385
2580000,NORMAL:0,0.015704154002026342,2579000,1000,0,0,0,0,49133072,117000,49077014,343240992,65568891,56058,4,2463000,117000,0,343240992,0,343240992
2581000,NORMAL:0,0.015704154002026342,2580000,1000,0,0,0,0,49133072,117000,49077014,343241036,65568891,56058,4,2464000,117000,0,343241036,0,343241036
2640000,NORMAL:0,0.015704154002026342,2639000,1000,0,0,0,0,49133072,117000,49077014,343242648,65568891,56058,4,2523000,117000,0,343242648,0,343242648
2641000,NORMAL:0,0.015704154002026342,2640000,1000,0,0,0,0,49133072,117000,49077014,343242693,65568891,56058,4,2524000,117000,0,343242693,0,343242693
2700000,NORMAL:0,0.015704154002026342,2699000,1000,0,0,0,0,49133072,117000,49077014,343244301,65568891,56058,4,2583000,117000,0,343244301,0,343244301
2701000,NORMAL:0,0.015704154002026342,2700000,1000,0,0,0,0,49133072,117000,49077014,343244347,65568891,56058,4,2584000,117000,0,343244347,0,343244347
2760000,NORMAL:0,0.015704154002026342,2759000,1000,0,0,0,0,49133072,117000,49077014,343245958,65568891,56058,4,2643000,117000,0,343245958,0,343245958
2761000,NORMAL:0,0.015704154002026342,2760000,1000,0,0,0,0,49133072,117000,49077014,343246003,65568891,56058,4,2644000,117000,0,343246003,0,343246003
2820000,NORMAL:0,0.015704154002026342,2819000,1000,0,0,0,0,49133072,117000,49077014,343247610,65568891,56058,4,2703000,117000,0,343247610,0,343247610
2821000,NORMAL:0,0.015704154002026342,2820000,1000,0,0,0,0,49133072,117000,49077014,343247656,65568891,56058,4,2704000,117000,0,343247656,0,343247656
2880000,NORMAL:0,0.015704154002026342,2879000,1000,0,0,0,0,49133072,117000,49077014,343249266,65568891,56058,4,2763000,117000,0,343249266,0,343249266
2881000,NORMAL:0,0.015704154002026342,2880000,1000,0,0,0,0,49133072,117000,49077014,343249312,65568891,56058,4,2764000,117000,0,343249312,0,343249312
2940000,NORMAL:0,0.015704154002026342,2939000,1000,0,0,0,0,49133072,117000,49077014,343250919,65568891,56058,4,2823000,117000,0,343250919,0,343250919
2941000,NORMAL:0,0.015704154002026342,2940000,1000,0,0,0,0,49133072,117000,49077014,343250965,65568891,56058,4,2824000,117000,0,343250965,0,343250965
3000000,NORMAL:0,0.015704154002026342,2999000,1000,0,0,0,0,49133072,117000,49077014,343252575,65568891,56058,4,2883000,117000,0,343252575,0,343252575
3001000,NORMAL:0,0.015704154002026342,3000000,1000,0,0,0,0,49133072,117000,49077014,343252621,65568891,56058,4,2884000,117000,0,343252621,0,343252621
3060000,NORMAL:0,0.015704154002026342,3059000,1000,0,0,0,0,49133072,117000,49077014,343254231,65568891,56058,4,2943000,117000,0,343254231,0,343254231
3061000,NORMAL:0,0.015704154002026342,3060000,1000,0,0,0,0,49133072,117000,49077014,343254275,65568891,56058,4,2944000,117000,0,343254275,0,343254275
