time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
2880000,NORMAL:0,0.0,2880000,0,0,0,0,0,0,0,0,0,0,79375,0,0,4,2880000,0,1e-06,194342.0,194342.0,79375,0,0,16218
2940000,NORMAL:0,0.0,2940000,0,0,0,0,0,0,0,0,0,0,81028,0,0,4,2940000,0,1e-06,198384.5,198384.5,81028,0,0,16218
3000000,NORMAL:0,0.0,3000000,0,0,0,0,0,0,0,0,0,0,82684,0,0,4,3000000,0,1e-06,202442.0,202442.0,82684,0,0,16218
3060000,NORMAL:0,0.0,3060000,0,0,0,0,0,0,0,0,0,0,84340,0,0,4,3060000,0,1e-06,206499.5,206499.5,84340,0,0,16218
3120000,NORMAL:0,0.0,3120000,0,0,0,0,0,0,0,0,0,0,85993,0,0,4,3120000,0,1e-06,210546.0,210546.0,85993,0,0,16218
3180000,NORMAL:0,0.0,3180000,0,0,0,0,0,0,0,0,0,0,87649,0,0,4,3180000,0,1e-06,214599.5,214599.5,87649,0,0,16218
3240000,NORMAL:0,0.0,3240000,0,0,0,0,0,0,0,0,0,0,89302,0,0,4,3240000,0,1e-06,218646.0,218646.0,89302,0,0,16218
3300000,NORMAL:0,0.0,3300000,0,0,0,0,0,0,0,0,0,0,90957,0,0,4,3300000,0,1e-06,222698.5,222698.5,90957,0,0,16218
3360000,NORMAL:0,0.0,3360000,0,0,0,0,0,0,0,0,0,0,92611,0,0,4,3360000,0,1e-06,226746.0,226746.0,92611,0,0,16218
3420000,NORMAL:0,0.0,3420000,0,0,0,0,0,0,0,0,0,0,94266,0,0,4,3420000,0,1e-06,230802.5,230802.5,94266,0,0,16218
3480000,NORMAL:0,0.0,3480000,0,0,0,0,0,0,0,0,0,0,95923,0,0,4,3480000,0,1e-06,234861.0,234861.0,95923,0,0,16218
3540000,NORMAL:0,0.0,3540000,0,0,0,0,0,0,0,0,0,0,97576,0,0,4,3540000,0,1e-06,238903.5,238903.5,97576,0,0,16218
3600000,NORMAL:0,0.0,3600000,0,0,0,0,0,0,0,0,0,0,99231,0,0,4,3600000,0,1e-06,242960.0,242960.0,99231,0,0,16218
3660000,NORMAL:0,0.0,3660000,0,0,0,0,0,0,0,0,0,0,100884,0,0,4,3660000,0,1e-06,247002.5,247002.5,100884,0,0,16218
3720000,NORMAL:0,0.0,3720000,0,0,0,0,0,0,0,0,0,0,102540,0,0,4,3720000,0,1e-06,251060.0,251060.0,102540,0,0,16218
3780000,NORMAL:0,0.0,3780000,0,0,0,0,0,0,0,0,0,0,104193,0,0,4,3780000,0,1e-06,255102.5,255102.5,104193,0,0,16218
3840000,NORMAL:0,0.0,3840000,0,0,0,0,0,0,0,0,0,0,105850,0,0,4,3840000,0,1e-06,259165.0,259165.0,105850,0,0,16218
3900000,NORMAL:0,0.0,3900000,0,0,0,0,0,0,0,0,0,0,107505,0,0,4,3900000,0,1e-06,263217.5,263217.5,107505,0,0,16218
3960000,NORMAL:0,0.0,3960000,0,0,0,0,0,0,0,0,0,0,109158,0,0,4,3960000,0,1e-06,267264.0,267264.0,109158,0,0,16218
4020000,NORMAL:0,0.0,4020000,0,0,0,0,0,0,0,0,0,0,110813,0,0,4,4020000,0,1e-06,271316.5,271316.5,110813,0,0,16218
4080000,NORMAL:0,0.0,4080000,0,0,0,0,0,0,0,0,0,0,112468,0,0,4,4080000,0,1e-06,275365.0,275365.0,112468,0,0,16218
4140000,NORMAL:0,0.0,4140000,0,0,0,10000.0,0,1,0,0,1,0,114122,1,1,3,4140000,0,1e-06,279610.29863221885,279610.29863221885,114122,0,0,16219
4200000,NORMAL:0,0.0,4200000,0,0,0,10000.0,0,1,0,0,1,0,115778,1,1,3,4200000,0,1e-06,284682.17363221885,284682.17363221885,115778,0,0,16219
4260000,NORMAL:0,0.0,4260000,0,0,0,10000.0,0,1,0,0,1,0,117432,1,1,3,4260000,0,1e-06,289741.54863221885,289741.54863221885,117432,0,0,16219
4320000,NORMAL:0,0.0,4320000,0,0,0,10000.0,0,1,0,0,1,0,119087,1,1,3,4320000,0,1e-06,294812.17363221885,294812.17363221885,119087,0,0,16219
4380000,NORMAL:0,0.0,4380000,0,0,0,10000.0,0,1,0,0,1,0,120741,1,1,3,4380000,0,1e-06,299866.54863221885,299866.54863221885,120741,0,0,16219
4440000,NORMAL:0,0.0,4440000,0,0,0,10000.0,0,1,0,0,1,0,122397,1,1,3,4440000,0,1e-06,304938.42363221885,304938.42363221885,122397,0,0,16219
